player_name_mfl_raw,position,mfl_mean_adp,consensus_avg_rank,n_drafts
"Allen, Josh",QB,6.267015706806283,21.3,191
"Jackson, Lamar",QB,16.031413612565444,22.7,191
"Burrow, Joe",QB,24.00523560209424,35.3,191
"Daniels, Jayden",QB,27.92063492063492,30.3,189
"Hurts, Jalen",QB,30.18324607329843,35.0,191
"Mahomes, Patrick",QB,46.596858638743456,50.7,191
"Mayfield, Baker",QB,59.252631578947366,63.3,190
"Nix, Bo",QB,67.27127659574468,72.3,188
"Murray, Kyler",QB,75.98395721925134,92.0,187
"Goff, Jared",QB,80.2872340425532,108.0,188
"Prescott, Dak",QB,85.57219251336899,103.0,187
"Purdy, Brock",QB,94.05882352941175,103.3,187
"Stroud, C.J.",QB,108.28804347826087,135.7,184
"Herbert, Justin",QB,110.91256830601093,108.7,183
"Williams, Caleb",QB,114.98907103825135,119.0,183
"Maye, Drake",QB,115.16111111111113,132.3,180
"Love, Jordan",QB,124.5,145.3,174
"Fields, Justin",QB,128.90058479532163,131.7,171
"Lawrence, Trevor",QB,139.83132530120483,165.3,166
"McCarthy, J.J.",QB,140.2470588235294,143.3,170
"Penix Jr., Michael",QB,148.55769230769232,184.7,156
"Tagovailoa, Tua",QB,152.24460431654677,179.3,139
"Stafford, Matthew",QB,152.76859504132233,190.0,121
"Rodgers, Aaron",QB,157.4392523364486,221.0,107
"Ward, Cam",QB,158.021978021978,189.0,91
"Young, Bryce",QB,158.90178571428572,195.0,112
"Smith, Geno",QB,163.54166666666666,214.7,72
"Darnold, Sam",QB,170.40350877192984,213.3,57
"Flacco, Joe",QB,173.3846153846154,256.5,13
"Wilson, Russell",QB,174.72413793103448,246.0,29
"Sanders, Shedeur",QB,175.58333333333334,205.0,12
"Richardson, Anthony",QB,180.05882352941177,242.0,17
"Dart, Jaxson",QB,182.20833333333337,216.0,24
"Milroe, Jalen",QB,186.8,255.0,5
"Jones, Daniel",QB,189.0,280.0,20
"Bowers, Brock",TE,27.36315789473684,19.7,190
"McBride, Trey",TE,34.50261780104712,27.0,191
"Kittle, George",TE,44.62105263157895,37.7,190
"LaPorta, Sam",TE,57.95744680851064,53.7,188
"Kelce, Travis",TE,69.47340425531915,60.7,188
"Andrews, Mark",TE,76.78888888888889,78.7,180
"Hockenson, T.J.",TE,79.05555555555556,63.3,180
"Njoku, David",TE,85.92696629213484,85.3,178
"Engram, Evan",TE,92.21348314606742,82.0,178
"Warren, Tyler",TE,94.98305084745763,89.0,177
"Kraft, Tucker",TE,110.47904191616766,111.0,167
"Loveland, Colston",TE,116.02312138728324,110.0,173
"Kincaid, Dalton",TE,126.47798742138365,126.3,159
"Pitts, Kyle",TE,128.08805031446542,131.3,159
"Goedert, Dallas",TE,132.5448717948718,147.0,156
"Henry, Hunter",TE,135.73154362416108,166.0,149
"Ferguson, Jake",TE,138.47368421052633,131.7,152
"Ertz, Zach",TE,141.3082191780822,161.0,146
"Ferguson, Terrance",TE,153.56,248.0,25
"Likely, Isaiah",TE,158.4271844660194,190.0,103
"Kmet, Cole",TE,158.6161616161616,248.0,99
"Freiermuth, Pat",TE,158.72173913043477,212.7,115
"Schultz, Dalton",TE,165.71794871794873,242.0,39
"Smith, Jonnu",TE,167.3448275862069,154.0,87
"Taylor, Mason",TE,168.96666666666667,210.0,60
"Okonkwo, Chigoziem",TE,170.81632653061226,193.0,49
"Waller, Darren",TE,171.6,204.3,70
"Strange, Brenton",TE,171.875,191.7,80
"Otton, Cade",TE,173.13333333333333,193.3,30
"Gesicki, Mike",TE,177.3720930232558,220.0,43
"Johnson, Juwan",TE,179.2962962962963,269.0,27
"Arroyo, Elijah",TE,184.0,221.5,10
"Johnson, Theo",TE,186.0,263.0,11
"Conklin, Tyler",TE,213.5,262.0,2
"Sanders, Ja'Tavion",TE,215.0,257.0,5
"Gray, Noah",TE,216.83333333333337,250.5,6
