pick,name,position,team,overall_adp
1.01,LaDainian Tomlinson,RB,SD,1.2
1.02,Steven Jackson,RB,STL,2.2
1.03,Larry Johnson,RB,KC,3.5
1.05,Frank Gore,RB,SF,4.6
1.05,Joseph Addai,RB,IND,4.9
1.06,Shaun Alexander,RB,SEA,6.3
1.08,Brian Westbrook,RB,PHI,7.8
1.08,Willie Parker,RB,PIT,8.3
1.10,Rudi Johnson,RB,CIN,9.8
1.10,Reggie Bush,RB,NO,10.0
1.10,Peyton Manning,QB,IND,10.2
1.12,Travis Henry,RB,DEN,12.4
1.12,Laurence Maroney,RB,NE,12.5
2.03,Willis McGahee,RB,BAL,15.0
2.04,Steve Smith,WR,CAR,16.2
2.05,Chad Johnson,WR,CIN,16.7
2.06,Marvin Harrison,WR,IND,18.0
2.06,Maurice Jones-Drew,RB,JAC,18.5
2.08,Terrell Owens,WR,DAL,19.8
2.09,Ronnie Brown,RB,MIA,21.0
2.10,Edgerrin James,RB,ARI,22.3
2.11,Reggie Wayne,WR,IND,22.5
2.12,Thomas Jones,RB,NYJ,24.0
2.12,Torry Holt,WR,STL,24.4
3.01,Cedric Benson,RB,CHI,24.6
3.01,Carson Palmer,QB,CIN,24.9
3.03,Larry Fitzgerald,WR,ARI,27.1
3.04,Roy Williams,WR,DET,28.1
3.04,Brandon Jacobs,RB,NYG,28.4
3.08,T.J. Houshmandzadeh,WR,CIN,31.9
3.08,Clinton Portis,RB,WAS,32.0
3.08,Drew Brees,QB,NO,32.1
3.09,Tom Brady,QB,NE,32.8
3.10,Javon Walker,WR,DEN,34.2
3.11,Anquan Boldin,WR,ARI,35.1
3.12,Antonio Gates,TE,SD,35.5
4.02,Marques Colston,WR,NO,38.0
4.03,Andre Johnson,WR,HOU,39.2
4.04,Marshawn Lynch,RB,BUF,40.4
4.05,Marc Bulger,QB,STL,40.6
4.05,Lee Evans,WR,BUF,41.2
4.05,Deuce McAllister,RB,NO,41.3
4.07,Adrian Peterson,RB,MIN,43.2
4.07,Donald Driver,WR,GB,43.3
4.08,Randy Moss,WR,NE,43.6
4.09,Cadillac Williams,RB,TB,44.6
4.09,Donovan McNabb,QB,PHI,44.9
5.01,Plaxico Burress,WR,NYG,49.3
5.02,Marion Barber,RB,DAL,50.1
5.03,Ahman Green,RB,HOU,51.3
5.04,Hines Ward,WR,PIT,52.4
5.05,Calvin Johnson,WR,DET,52.8
5.05,Reggie Brown,WR,PHI,52.9
5.07,Deion Branch,WR,SEA,55.1
5.08,Jamal Lewis,RB,CLE,56.2
5.10,Laveranues Coles,WR,NYJ,57.5
5.10,Jerious Norwood,RB,ATL,57.5
5.12,Jon Kitna,QB,DET,60.0
6.01,Santana Moss,WR,WAS,61.2
6.03,Deangelo Williams,RB,CAR,62.8
6.03,Vincent Jackson,WR,SD,62.9
6.04,Tony Gonzalez,TE,KC,63.8
6.04,Darrell Jackson,WR,SF,64.4
6.06,Vernon Davis,TE,SF,65.6
6.06,Braylon Edwards,WR,CLE,65.8
6.06,Tatum Bell,RB,DET,66.3
6.06,Julius Jones,RB,DAL,66.5
6.09,Matt Hasselbeck,QB,SEA,68.6
6.10,Jeremy Shockey,TE,NYG,70.3
6.11,Todd Heap,TE,BAL,71.1
6.12,Brandon Jackson,RB,GB,71.5
6.12,Ladell Betts,RB,WAS,71.8
6.12,Chris Chambers,WR,MIA,71.9
7.03,Joey Galloway,WR,TB,74.5
7.03,Donte Stallworth,WR,NE,74.8
7.03,Philip Rivers,QB,SD,75.4
7.04,LaMont Jordan,RB,OAK,76.3
7.05,Baltimore Defense,DEF,BAL,77.2
7.06,Kellen Winslow,TE,CLE,77.6
7.06,Tony Romo,QB,DAL,78.1
7.06,Chicago Defense,DEF,CHI,78.2
7.07,Mark Clayton,WR,BAL,79.2
7.09,Bernard Berrian,WR,CHI,80.6
7.11,Jerricho Cotchery,WR,NYJ,82.8
7.12,Chester Taylor,RB,MIN,83.9
7.12,Chris Cooley,TE,WAS,84.3
8.01,Fred Taylor,RB,JAC,84.6
8.04,Terry Glenn,WR,DAL,87.5
8.04,Vince Young,QB,TEN,88.5
8.06,Matt Leinart,QB,ARI,89.5
8.06,Santonio Holmes,WR,PIT,89.9
8.08,New England Defense,DEF,NE,91.5
8.09,Alge Crumpler,TE,ATL,93.2
8.09,Devery Henderson,WR,NO,93.3
8.09,DeShaun Foster,RB,CAR,93.4
8.10,Kevin Jones,RB,DET,93.8
8.11,San Diego Defense,DEF,SD,94.7
8.12,Michael Turner,RB,SD,96.2
9.01,LenDale White,RB,TEN,97.0
9.01,Greg Jennings,WR,GB,97.1
9.02,Jason Witten,TE,DAL,97.9
9.02,D.J. Hackett,WR,SEA,98.2
9.02,Jay Cutler,QB,DEN,98.5
9.04,Kevin Curtis,WR,PHI,100.1
9.06,Warrick Dunn,RB,ATL,101.8
9.11,Eli Manning,QB,NYG,107.5
9.12,Jerry Porter,WR,OAK,107.6
9.12,Joe Horn,WR,ATL,108.1
10.01,Drew Bennett,WR,STL,109.0
10.02,Ben Roethlisberger,QB,PIT,109.5
10.02,Denver Defense,DEF,DEN,110.5
