pick,name,position,team,overall_adp,high,low
1.01,Adrian Peterson,RB,MIN,1.3,1.01,1.05
1.03,Maurice Jones-Drew,RB,JAC,2.7,1.01,1.08
1.03,Michael Turner,RB,ATL,3.1,1.01,1.07
1.04,Matt Forte,RB,CHI,3.7,1.01,1.09
1.06,Larry Fitzgerald,WR,ARI,6.3,1.01,2.02
1.07,LaDainian Tomlinson,RB,SD,6.9,1.02,2.02
1.07,DeAngelo Williams,RB,CAR,7.1,1.01,2.03
1.09,Steven Jackson,RB,STL,8.9,1.03,2.04
1.09,Randy Moss,WR,NE,9.0,1.02,2.05
1.09,Andre Johnson,WR,HOU,9.3,1.03,2.05
1.12,Steve Slaton,RB,HOU,11.7,1.03,2.08
1.12,Chris Johnson,RB,TEN,11.8,1.04,2.09
2.01,Calvin Johnson,WR,DET,13.1,1.05,2.11
2.01,Drew Brees,QB,NO,13.1,1.01,3.02
2.02,Frank Gore,RB,SF,14.5,1.06,2.12
2.04,Tom Brady,QB,NE,15.6,1.03,3.05
2.05,Reggie Wayne,WR,IND,17.5,1.11,3.04
2.06,Brandon Jacobs,RB,NYG,17.5,1.08,3.09
2.07,Greg Jennings,WR,GB,18.9,1.10,3.04
2.07,Brian Westbrook,RB,PHI,19.4,1.08,3.10
2.10,Steve Smith,WR,CAR,21.9,1.12,3.08
2.10,Roddy White,WR,ATL,22.4,2.01,3.09
2.12,Marques Colston,WR,NO,24.3,2.03,3.11
3.01,Anquan Boldin,WR,ARI,25.0,2.03,4.01
3.01,Peyton Manning,QB,IND,25.3,1.12,4.08
3.02,Clinton Portis,RB,WAS,26.1,2.01,4.02
3.03,Marion Barber,RB,DAL,27.0,2.02,4.05
3.05,Ryan Grant,RB,GB,29.5,2.06,4.07
3.06,Aaron Rodgers,QB,GB,29.6,2.03,4.10
3.06,Wes Welker,WR,NE,30.4,2.07,4.09
3.07,Pierre Thomas,RB,NO,30.8,2.06,4.09
3.09,Ronnie Brown,RB,MIA,33.1,2.08,4.11
3.10,Kevin Smith,RB,DET,34.3,2.10,5.04
3.10,Terrell Owens,WR,BUF,34.4,2.09,4.12
3.11,T.J. Houshmandzadeh,WR,SEA,35.4,2.11,4.12
3.11,Dwayne Bowe,WR,KC,35.5,2.11,5.04
4.02,Chad OchoCinco,WR,CIN,38.3,3.02,5.04
4.03,Philip Rivers,QB,SD,38.7,2.08,5.07
4.04,Darren McFadden,RB,OAK,39.6,3.01,5.08
4.05,Vincent Jackson,WR,SD,41.1,3.02,5.12
4.06,Jason Witten,TE,DAL,41.7,3.04,5.12
4.06,Ray Rice,RB,BAL,41.9,3.01,5.12
4.08,DeSean Jackson,WR,PHI,44.4,3.06,5.11
4.09,Roy Williams,WR,DAL,44.8,3.06,6.04
4.11,Anthony Gonzalez,WR,IND,46.6,3.07,6.06
4.11,Antonio Gates,TE,SD,47.2,4.01,5.11
4.12,Marshawn Lynch,RB,BUF,47.6,3.05,6.08
4.12,Kurt Warner,QB,ARI,48.0,2.11,7.08
5.02,Braylon Edwards,WR,CLE,49.6,3.08,6.11
5.03,Tony Gonzalez,TE,ATL,51.3,3.11,6.08
5.04,Brandon Marshall,WR,DEN,52.1,3.08,6.11
5.04,Reggie Bush,RB,NO,52.1,3.05,7.08
5.05,Eddie Royal,WR,DEN,53.2,3.12,7.01
5.06,Larry Johnson,RB,KC,54.0,3.08,7.12
5.06,Derrick Ward,RB,TB,54.5,3.07,7.04
5.07,Joseph Addai,RB,IND,54.6,3.06,7.10
5.07,Tony Romo,QB,DAL,55.1,3.08,8.10
5.07,Dallas Clark,TE,IND,55.4,4.03,7.03
5.12,Santonio Holmes,WR,PIT,59.7,4.04,7.09
5.12,Knowshon Moreno,RB,DEN,60.0,3.11,8.01
5.12,Donovan McNabb,QB,PHI,60.0,4.01,8.09
6.01,Bernard Berrian,WR,MIN,60.8,4.04,7.09
6.01,Thomas Jones,RB,NYJ,60.8,3.11,8.01
6.04,Greg Olsen,TE,CHI,64.4,4.10,10.01
6.06,Chris Wells,RB,ARI,65.7,4.05,8.10
6.06,Lee Evans,WR,BUF,66.0,4.08,8.09
6.06,LenDale White,RB,TEN,66.2,4.06,8.10
6.06,Willie Parker,RB,PIT,66.4,4.06,8.10
6.07,Matt Ryan,QB,ATL,67.0,4.02,9.04
6.10,Antonio Bryant,WR,TB,70.5,4.11,8.12
6.11,Felix Jones,RB,DAL,70.9,4.11,8.12
6.12,Lance Moore,WR,NO,72.4,4.09,9.02
7.01,Matt Schaub,QB,HOU,72.5,4.11,9.11
7.01,Santana Moss,WR,WAS,72.8,4.12,9.03
7.02,Cedric Benson,RB,CIN,74.2,5.02,9.02
7.03,Jonathan Stewart,RB,CAR,75.0,5.03,8.11
7.03,Chris Cooley,TE,WAS,75.5,5.04,10.02
7.04,Hines Ward,WR,PIT,75.7,5.02,10.04
7.07,Donald
