season,primary_source,secondary_source,coverage,confidence,manual_recovery_needed
2006,none_established,wayback_machine_or_mfl_snapshot,none,very_low,yes
2007,fftoday_standard_VERIFIED,ffc_standard_confirmed_broken_0_players,185_usable_skill_players_clean_extraction_standard_only,high,no
2008,fftoday_standard_VERIFIED,ffc_standard_confirmed_contaminated,181_usable_skill_players_clean_extraction_standard_only_note_page_date_label_typo_shows_8-31-07,high,no
2009,fftoday_standard_VERIFIED,ffc_api_ppr_confirmed_empty,176_usable_skill_players_clean_extraction_standard_confirmed_ppr_does_not_exist_on_ffc,high,no
2010,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_187_usable_skill_players_clean_5day_snapshot,high,no
2011,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_165_usable_skill_players_clean_3day_snapshot,high,no
2012,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_92_usable_skill_players_THIN_YEAR_clean_1day_snapshot,medium,no
2013,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_162_usable_skill_players_clean_2day_snapshot,high,no
2014,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_165_usable_skill_players_clean_1day_snapshot,high,no
2015,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_172_usable_skill_players_clean_3day_snapshot,high,no
2016,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_163_usable_skill_players_clean_1day_snapshot,high,no
2017,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate,verified_163_usable_skill_players_clean_1day_snapshot,high,no
2018,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate_or_sleeper,verified_168_usable_skill_players_clean_3day_snapshot,high,no
2019,ffc_api_ppr_VERIFIED,fantasypros_ppr_aggregate_or_sleeper,verified_170_usable_skill_players_clean_2day_snapshot,high,no
2020,ffc_api_ppr_VERIFIED,kaggle_currie_2020_2022,verified_174_usable_skill_players_clean_2day_snapshot,high,no
2021,ffc_api_ppr_VERIFIED,kaggle_currie_2020_2022_or_fftoday,verified_183_usable_skill_players_clean_1day_snapshot,high,no
2022,ffc_api_ppr_VERIFIED,kaggle_currie_2020_2022_or_fftoday,verified_146_usable_skill_players_clean_1day_snapshot,medium,no
2023,ffc_api_ppr_VERIFIED,kaggle_gbolduc_2017_2023_or_fftoday,verified_177_usable_skill_players_clean_2day_snapshot,high,no
2024,ffc_api_ppr_VERIFIED,fftoday_or_fantasypros,verified_178_usable_skill_players_clean_1day_snapshot,high,no
2025,fantasypros_ppr_aggregate,ffc_api_ppr_confirmed_empty,ffc_returns_no_adp_data_found_for_2025_reason_unknown,low,yes
