player,name,position,team,mean_adp,median_adp,n_drafts,player_norm,sleeper_rank,rtsports_rank,fftoday_espn_rank,avg_rank,position_fft
15281,"Chase, Ja'Marr",WR,CIN,1.9842931937172776,1.0,191,jamarr chase,1,1.0,1.0,1.0,WR
16161,"Robinson, Bijan",RB,ATL,3.324607329842932,3.0,191,bijan robinson,3,2.0,2.0,2.3,RB
13604,"Barkley, Saquon",RB,PHI,4.110526315789474,4.0,190,saquon barkley,2,4.0,3.0,3.0,RB
16162,"Gibbs, Jahmyr",RB,DET,4.356020942408377,4.0,191,jahmyr gibbs,4,3.0,5.0,4.0,RB
13589,"Allen, Josh",QB,BUF,6.267015706806283,6.0,191,josh allen,20,25.0,19.0,21.3,QB
14832,"Lamb, CeeDee",WR,DAL,7.026041666666667,6.0,192,ceedee lamb,6,5.0,6.0,5.7,WR
14836,"Jefferson, Justin",WR,MIN,8.282722513089006,8.0,191,justin jefferson,5,6.0,4.0,5.0,WR
13130,"McCaffrey, Christian",RB,SFO,9.645833333333334,9.0,192,christian mccaffrey,11,7.0,7.0,8.3,RB
12626,"Henry, Derrick",RB,BAL,9.932291666666666,9.0,192,derrick henry,8,12.0,12.0,10.7,RB
15287,"St. Brown, Amon-Ra",WR,DET,10.875647668393782,10.0,193,amon-ra st brown,7,10.0,9.0,8.7,WR
17042,"Jeanty, Ashton",RB,LVR,12.706806282722512,12.0,191,ashton jeanty,12,8.0,11.0,10.3,RB
13593,"Jackson, Lamar",QB,BAL,16.031413612565444,15.0,191,lamar jackson,21,24.0,23.0,22.7,QB
15290,"Collins, Nico",WR,HOU,16.083333333333332,14.0,192,nico collins,13,11.0,13.0,12.3,WR
16211,"Nacua, Puka",WR,LAR,16.161458333333332,15.0,192,puka nacua,9,17.0,8.0,11.3,WR
16615,"Nabers, Malik",WR,NYG,16.869791666666668,16.0,192,malik nabers,10,9.0,10.0,9.7,WR
14073,"Jacobs, Josh",RB,GBP,18.661458333333332,18.0,192,josh jacobs,16,15.0,18.0,16.3,RB
14802,"Taylor, Jonathan",RB,IND,19.167539267015705,18.0,191,jonathan taylor,23,20.0,15.0,19.3,RB
16618,"Thomas Jr., Brian",WR,JAC,21.642105263157895,20.0,190,brian thomas jr,15,14.0,16.0,15.0,WR
16167,"Achane, De'Von",RB,MIA,22.268421052631577,21.0,190,devon achane,14,18.0,14.0,15.3,RB
15710,"Williams, Kyren",RB,LAR,22.71875,21.0,192,kyren williams,25,22.0,30.0,25.7,RB
16598,"Irving, Bucky",RB,TBB,22.772486772486772,21.0,189,bucky irving,22,16.0,22.0,20.0,RB
14777,"Burrow, Joe",QB,CIN,24.00523560209424,23.0,191,joe burrow,36,37.0,33.0,35.3,QB
16181,"Brown, Chase",RB,CIN,24.30366492146597,23.0,191,chase brown,27,13.0,24.0,21.3,RB
14104,"Brown, A.J.",WR,PHI,25.447916666666668,26.0,192,aj brown,19,23.0,17.0,19.7,WR
15751,"London, Drake",WR,ATL,25.666666666666668,25.0,192,drake london,17,19.0,21.0,19.0,WR
16641,"Bowers, Brock",TE,LVR,27.36315789473684,27.0,190,brock bowers,18,21.0,20.0,19.7,TE
16581,"Daniels, Jayden",QB,WAS,27.92063492063492,27.0,189,jayden daniels,32,32.0,27.0,30.3,QB
