player,name,position,team,mean_adp,median_adp,n_drafts
15281,"Chase, Ja'Marr",WR,CIN,1.6224489795918366,1.0,98
16161,"Robinson, Bijan",RB,ATL,2.8877551020408165,3.0,98
13604,"Barkley, Saquon",RB,PHI,3.561224489795918,3.0,98
16162,"Gibbs, Jahmyr",RB,DET,4.161616161616162,4.0,99
14832,"Lamb, CeeDee",WR,DAL,6.01010101010101,6.0,99
13589,"Allen, Josh",QB,BUF,7.0,7.0,99
14836,"Jefferson, Justin",WR,MIN,7.438775510204081,7.0,98
13130,"McCaffrey, Christian",RB,SFO,8.479591836734693,8.0,98
12626,"Henry, Derrick",RB,BAL,8.93939393939394,9.0,99
15287,"St. Brown, Amon-Ra",WR,DET,9.98989898989899,10.0,99
17042,"Jeanty, Ashton",RB,LVR,11.381443298969073,11.0,97
16615,"Nabers, Malik",WR,NYG,15.153061224489797,15.0,98
16211,"Nacua, Puka",WR,LAR,15.346938775510203,14.0,98
15290,"Collins, Nico",WR,HOU,15.408163265306122,13.5,98
14073,"Jacobs, Josh",RB,GBP,17.520408163265305,17.0,98
0606,"Bengals, Cincinnati",Off,CIN,18.0,18.0,1
14802,"Taylor, Jonathan",RB,IND,18.581632653061224,18.0,98
16618,"Thomas Jr., Brian",WR,JAC,19.76530612244898,19.0,98
16167,"Achane, De'Von",RB,MIA,21.20408163265306,20.0,98
16598,"Irving, Bucky",RB,TBB,21.31958762886598,18.0,97
15710,"Williams, Kyren",RB,LAR,22.448979591836736,21.0,98
13593,"Jackson, Lamar",QB,BAL,23.091836734693878,22.0,98
15751,"London, Drake",WR,ATL,23.8265306122449,23.0,98
16181,"Brown, Chase",RB,CIN,23.989795918367346,22.0,98
14104,"Brown, A.J.",WR,PHI,24.602040816326532,25.5,98
16641,"Bowers, Brock",TE,LVR,26.877551020408163,25.5,98
15715,"Cook, James",RB,BUF,29.06122448979592,29.0,98
16627,"McConkey, Ladd",WR,LAC,29.714285714285715,29.0,98
14777,"Burrow, Joe",QB,CIN,30.244897959183675,29.0,98
13132,"Kamara, Alvin",RB,NOS,31.724489795918366,30.0,98
15794,"McBride, Trey",TE,ARI,33.3469387755102,33.0,98
16581,"Daniels, Jayden",QB,WAS,34.69387755102041,33.0,98
17044,"Hampton, Omarion",RB,LAC,35.78350515463917,36.0,97
14835,"Higgins, Tee",WR,CIN,35.785714285714285,36.0,98
16185,"Smith-Njigba, Jaxon",WR,SEA,35.795918367346935,34.0,98
12801,"Hill, Tyreek",WR,MIA,35.91836734693877,36.0,98
0631,"Ravens, Baltimore",Off,BAL,36.0,36.0,1
14783,"Hurts, Jalen",QB,PHI,36.214285714285715,34.5,98
11671,"Evans, Mike",WR,TBB,36.63265306122449,37.0,98
0618,"Eagles, Philadelphia",Off,PHI,38.0,38.0,1
15708,"Hall, Breece",RB,NYJ,38.234693877551024,36.0,98
14109,"McLaurin, Terry",WR,WAS,40.61224489795919,40.0,98
0612,"Chiefs, Kansas City",Off,KCC,41.0,41.0,1
17043,"Henderson, TreVeyon",RB,NEP,41.572916666666664,41.5,96
15711,"Walker III, Kenneth",RB,SEA,41.744897959183675,41.0,98
15753,"Wilson, Garrett",WR,NYJ,42.03061224489796,41.5,98
13146,"Conner, James",RB,ARI,42.857142857142854,42.0,98
16614,"Harrison Jr., Marvin",WR,ARI,42.92857142857143,43.0,98
0601,"Bills, Buffalo",Off,BUF,43.0,43.0,1
11675,"Adams, Davante",WR,LAR,44.826530612244895,45.0,98
13299,"Kittle, George",TE,SFO,45.13265306122449,44.0,98
0622,"Lions, Detroit",Off,DET,46.0,46.0,1
15261,"Hubbard, Chuba",RB,CAR,47.350515463917525,48.0,97
0623,"Packers, Green Bay",Off,GBP,50.0,50.0,1
14102,"Metcalf, DK",WR,PIT,51.173469387755105,51.5,98
0620,"Commanders, Washington",Off,WAS,52.0,52.0,1
13635,"Moore, D.J.",WR,CHI,52.3469387755102,51.0,98
13630,"Sutton, Courtland",WR,DEN,52.88775510204081,52.0,98
13116,"Mahomes, Patrick",QB,KCC,54.93877551020408,51.5,98
17068,"Harvey, RJ",RB,DEN,55.93684210526316,55.0,95
0630,"49ers, San Francisco",Off,SFO,57.0,57.0,1
0625,"Buccaneers, Tampa Bay",Off,TBB,58.0,58.0,1
13319,"Jones, Aaron",RB,MIN,58.36734693877551,57.5,98
16214,"LaPorta, Sam",TE,DET,58.7319587628866,54.0,97
16620,"Worthy, Xavier",WR,KCC,58.95918367346939,60.0,98
17071,"McMillan, Tetairoa",WR,CAR,59.12244897959184,57.0,98
16190,"Flowers, Zay",WR,BAL,59.77319587628866,58.0,97
15282,"Smith, DeVonta",WR,PHI,62.21649484536083,63.0,97
14797,"Swift, D'Andre",RB,CHI,62.46938775510204,62.0,98
15756,"Williams, Jameson",WR,DET,62.845360824742265,62.0,97
15749,"Pacheco, Isiah",RB,KCC,62.86734693877551,62.5,98
15762,"Pickens, George",WR,DAL,64.63917525773196,64.0,97
14071,"Montgomery, David",RB,DET,66.87628865979381,67.0,97
13590,"Mayfield, Baker",QB,TBB,67.17525773195877,64.0,97
14085,"Pollard, Tony",RB,TEN,67.41666666666667,66.0,96
13629,"Ridley, Calvin",WR,TEN,67.45918367346938,66.0,98
0611,"Broncos, Denver",Off,DEN,68.0,68.0,1
14833,"Jeudy, Jerry",WR,CLE,69.05208333333333,65.0,96
11244,"Kelce, Travis",TE,KCC,72.10309278350516,72.0,97
16747,"Tracy, Tyrone",RB,NYG,74.31958762886597,72.0,97
16582,"Nix, Bo",QB,DEN,75.0,75.0,97
15754,"Olave, Chris",WR,NOS,75.16666666666667,76.0,96
17074,"Hunter, Travis",WR,JAC,77.06382978723404,76.0,94
16616,"Odunze, Rome",WR,CHI,80.04123711340206,77.0,97
14056,"Murray, Kyler",QB,ARI,80.05154639175258,79.0,97
15742,"Warren, Jaylen",RB,PIT,80.41237113402062,82.0,97
