player,name,position,team,mean_adp,median_adp,n_drafts
15281,"Chase, Ja'Marr",WR,CIN,1.9842931937172774,1.0,191
16161,"Robinson, Bijan",RB,ATL,3.324607329842932,3.0,191
13604,"Barkley, Saquon",RB,PHI,4.110526315789474,4.0,190
16162,"Gibbs, Jahmyr",RB,DET,4.356020942408377,4.0,191
13589,"Allen, Josh",QB,BUF,6.267015706806283,6.0,191
14832,"Lamb, CeeDee",WR,DAL,7.026041666666667,6.0,192
14836,"Jefferson, Justin",WR,MIN,8.282722513089006,8.0,191
13130,"McCaffrey, Christian",RB,SFO,9.645833333333334,9.0,192
12626,"Henry, Derrick",RB,BAL,9.932291666666666,9.0,192
15287,"St. Brown, Amon-Ra",WR,DET,10.875647668393782,10.0,193
17042,"Jeanty, Ashton",RB,LVR,12.706806282722512,12.0,191
13593,"Jackson, Lamar",QB,BAL,16.031413612565444,15.0,191
15290,"Collins, Nico",WR,HOU,16.083333333333332,14.0,192
16211,"Nacua, Puka",WR,LAR,16.161458333333332,15.0,192
16615,"Nabers, Malik",WR,NYG,16.869791666666668,16.0,192
14073,"Jacobs, Josh",RB,GBP,18.661458333333332,18.0,192
14802,"Taylor, Jonathan",RB,IND,19.167539267015705,18.0,191
16618,"Thomas Jr., Brian",WR,JAC,21.642105263157895,20.0,190
16167,"Achane, De'Von",RB,MIA,22.268421052631577,21.0,190
15710,"Williams, Kyren",RB,LAR,22.71875,21.0,192
16598,"Irving, Bucky",RB,TBB,22.772486772486772,21.0,189
14777,"Burrow, Joe",QB,CIN,24.005235602094242,23.0,191
16181,"Brown, Chase",RB,CIN,24.30366492146597,23.0,191
14104,"Brown, A.J.",WR,PHI,25.447916666666668,26.0,192
15751,"London, Drake",WR,ATL,25.666666666666668,25.0,192
16641,"Bowers, Brock",TE,LVR,27.36315789473684,27.0,190
16581,"Daniels, Jayden",QB,WAS,27.92063492063492,27.0,189
15715,"Cook, James",RB,BUF,29.963541666666668,30.0,192
