player,name,position,team,mean_adp,median_adp,n_drafts
15281,"Chase, Ja'Marr",WR,CIN,1.6,1.0,25
16162,"Gibbs, Jahmyr",RB,DET,4.1875,4.0,16
16161,"Robinson, Bijan",RB,ATL,4.3076923076923075,5.0,13
13604,"Barkley, Saquon",RB,PHI,4.5,4.0,16
13589,"Allen, Josh",QB,BUF,5.488372093023256,5.0,43
14832,"Lamb, CeeDee",WR,DAL,6.7272727272727275,7.0,22
14836,"Jefferson, Justin",WR,MIN,9.0,8.0,13
12626,"Henry, Derrick",RB,BAL,9.461538461538462,8.0,13
13130,"McCaffrey, Christian",RB,SFO,10.384615384615385,10.0,13
13593,"Jackson, Lamar",QB,BAL,12.56,11.0,25
15287,"St. Brown, Amon-Ra",WR,DET,12.894736842105264,12.0,19
17042,"Jeanty, Ashton",RB,LVR,14.333333333333334,14.0,15
16211,"Nacua, Puka",WR,LAR,15.454545454545455,16.0,11
15290,"Collins, Nico",WR,HOU,16.6,16.5,20
16615,"Nabers, Malik",WR,NYG,18.0,17.0,13
14802,"Taylor, Jonathan",RB,IND,18.272727272727273,19.0,11
14073,"Jacobs, Josh",RB,GBP,18.4375,17.0,16
14777,"Burrow, Joe",QB,CIN,21.48148148148148,22.0,27
16181,"Brown, Chase",RB,CIN,23.4,25.0,20
16598,"Irving, Bucky",RB,TBB,24.133333333333333,24.0,15
16618,"Thomas Jr., Brian",WR,JAC,24.666666666666668,24.5,18
15710,"Williams, Kyren",RB,LAR,25.555555555555557,25.0,9
16167,"Achane, De'Von",RB,MIA,25.57894736842105,23.0,19
16581,"Daniels, Jayden",QB,WAS,25.583333333333332,24.0,12
14783,"Hurts, Jalen",QB,PHI,25.666666666666668,20.0,12
15751,"London, Drake",WR,ATL,27.153846153846153,29.0,13
16641,"Bowers, Brock",TE,LVR,28.294117647058822,29.0,17
14104,"Brown, A.J.",WR,PHI,30.23076923076923,32.0,13
15794,"McBride, Trey",TE,ARI,32.30769230769231,33.0,13
15715,"Cook, James",RB,BUF,33.625,35.0,8
16627,"McConkey, Ladd",WR,LAC,34.214285714285715,34.0,14
13132,"Kamara, Alvin",RB,NOS,35.94117647058823,39.0,17
16185,"Smith-Njigba, Jaxon",WR,SEA,38.48148148148148,38.0,27
14835,"Higgins, Tee",WR,CIN,39.0,39.0,18
15708,"Hall, Breece",RB,NYJ,39.130434782608695,39.0,23
12801,"Hill, Tyreek",WR,MIA,40.53333333333333,42.0,15
11671,"Evans, Mike",WR,TBB,41.57142857142857,42.0,7
17044,"Hampton, Omarion",RB,LAC,42.9,41.0,10
13299,"Kittle, George",TE,SFO,43.05263157894737,45.0,19
13116,"Mahomes, Patrick",QB,KCC,45.10526315789474,47.0,19
13146,"Conner, James",RB,ARI,46.285714285714285,46.5,14
17043,"Henderson, TreVeyon",RB,NEP,46.63636363636363,50.0,11
