player,name,position,team,mean_adp,median_adp,n_drafts
15281,"Chase, Ja'Marr",WR,CIN,1.6071428571428572,1.0,112
16161,"Robinson, Bijan",RB,ATL,3.1487603305785123,3.0,121
13604,"Barkley, Saquon",RB,PHI,4.053846153846154,4.0,130
16162,"Gibbs, Jahmyr",RB,DET,4.4227642276422765,4.0,123
14832,"Lamb, CeeDee",WR,DAL,6.528455284552845,6.0,123
13589,"Allen, Josh",QB,BUF,6.62,7.0,100
14836,"Jefferson, Justin",WR,MIN,8.35344827586207,8.0,116
13130,"McCaffrey, Christian",RB,SFO,9.890756302521009,9.0,119
12626,"Henry, Derrick",RB,BAL,10.059322033898304,9.0,118
15287,"St. Brown, Amon-Ra",WR,DET,10.304,10.0,125
17042,"Jeanty, Ashton",RB,LVR,12.174603174603174,12.0,126
15290,"Collins, Nico",WR,HOU,15.357723577235772,14.0,123
16211,"Nacua, Puka",WR,LAR,15.530303030303031,14.0,132
16615,"Nabers, Malik",WR,NYG,16.147540983606557,16.0,122
0606,"Bengals, Cincinnati",Off,CIN,18.0,18.0,1
13593,"Jackson, Lamar",QB,BAL,18.490909090909092,18.0,110
14073,"Jacobs, Josh",RB,GBP,19.188524590163933,18.0,122
14802,"Taylor, Jonathan",RB,IND,19.452380952380953,19.0,126
16618,"Thomas Jr., Brian",WR,JAC,20.058823529411764,20.0,119
16598,"Irving, Bucky",RB,TBB,20.95275590551181,21.0,127
15710,"Williams, Kyren",RB,LAR,21.55072463768116,21.0,138
16167,"Achane, De'Von",RB,MIA,22.843478260869563,21.0,115
16181,"Brown, Chase",RB,CIN,23.931623931623932,23.0,117
14777,"Burrow, Joe",QB,CIN,25.210526315789473,25.0,114
14104,"Brown, A.J.",WR,PHI,25.77037037037037,26.0,135
15751,"London, Drake",WR,ATL,25.901639344262296,25.0,122
16641,"Bowers, Brock",TE,LVR,26.427419354838708,26.0,124
16581,"Daniels, Jayden",QB,WAS,28.288,28.0,125
16627,"McConkey, Ladd",WR,LAC,28.748031496062993,29.0,127
15715,"Cook, James",RB,BUF,29.934306569343065,30.0,137
14783,"Hurts, Jalen",QB,PHI,31.3953488372093,30.0,129
13132,"Kamara, Alvin",RB,NOS,33.78512396694215,33.0,121
15794,"McBride, Trey",TE,ARI,34.92622950819672,33.0,122
16185,"Smith-Njigba, Jaxon",WR,SEA,35.924369747899156,35.0,119
12801,"Hill, Tyreek",WR,MIA,37.06106870229008,36.0,131
14835,"Higgins, Tee",WR,CIN,37.18032786885246,37.0,122
