player,name,position,team,mean_adp,median_adp,n_drafts
15281,"Chase, Ja'Marr",WR,CIN,2.0421686746987953,1.0,166
16161,"Robinson, Bijan",RB,ATL,3.2542372881355934,3.0,177
13604,"Barkley, Saquon",RB,PHI,4.092485549132948,4.0,173
16162,"Gibbs, Jahmyr",RB,DET,4.373563218390805,4.0,174
13589,"Allen, Josh",QB,BUF,6.496598639455782,7.0,147
14832,"Lamb, CeeDee",WR,DAL,7.064705882352941,6.0,170
14836,"Jefferson, Justin",WR,MIN,8.230337078651685,8.0,178
13130,"McCaffrey, Christian",RB,SFO,9.59217877094972,9.0,179
12626,"Henry, Derrick",RB,BAL,9.966480446927374,9.0,179
15287,"St. Brown, Amon-Ra",WR,DET,10.655172413793103,10.0,174
17042,"Jeanty, Ashton",RB,LVR,12.568181818181818,12.0,176
15290,"Collins, Nico",WR,HOU,16.023255813953487,14.0,172
16211,"Nacua, Puka",WR,LAR,16.216666666666665,15.0,180
13593,"Jackson, Lamar",QB,BAL,16.579268292682926,16.0,164
16615,"Nabers, Malik",WR,NYG,16.808988764044944,16.0,178
0606,"Bengals, Cincinnati",Off,CIN,18.0,18.0,1
14073,"Jacobs, Josh",RB,GBP,18.681818181818183,18.0,176
14802,"Taylor, Jonathan",RB,IND,19.22222222222222,18.0,180
16618,"Thomas Jr., Brian",WR,JAC,21.33529411764706,20.0,170
16167,"Achane, De'Von",RB,MIA,21.900584795321638,20.0,171
15710,"Williams, Kyren",RB,LAR,22.5989010989011,21.0,182
16598,"Irving, Bucky",RB,TBB,22.655172413793103,21.0,174
16181,"Brown, Chase",RB,CIN,24.4093567251462,23.0,171
14777,"Burrow, Joe",QB,CIN,24.420731707317074,24.5,164
14104,"Brown, A.J.",WR,PHI,25.100558659217878,26.0,179
15751,"London, Drake",WR,ATL,25.578651685393258,25.0,178
16641,"Bowers, Brock",TE,LVR,27.25581395348837,27.0,172
16581,"Daniels, Jayden",QB,WAS,28.079545454545453,27.5,176
15715,"Cook, James",RB,BUF,29.808743169398905,30.0,183
14783,"Hurts, Jalen",QB,PHI,30.47457627118644,30.0,177
16627,"McConkey, Ladd",WR,LAC,30.54237288135593,29.0,177
13132,"Kamara, Alvin",RB,NOS,34.39080459770115,33.0,174
15794,"McBride, Trey",TE,ARI,34.73142857142857,34.0,175
14835,"Higgins, Tee",WR,CIN,36.57225433526011,37.0,173
12801,"Hill, Tyreek",WR,MIA,36.77272727272727,36.0,176
17044,"Hampton, Omarion",RB,LAC,37.16949152542373,36.0,177
11671,"Evans, Mike",WR,TBB,37.43478260869565,37.5,184
16185,"Smith-Njigba, Jaxon",WR,SEA,37.515337423312886,36.0,163
15708,"Hall, Breece",RB,NYJ,37.767857142857146,36.0,168
14109,"McLaurin, Terry",WR,WAS,41.20441988950276,40.0,181
15711,"Walker III, Kenneth",RB,SEA,42.78142076502732,42.0,183
17043,"Henderson, TreVeyon",RB,NEP,42.87570621468927,42.0,177
13146,"Conner, James",RB,ARI,43.0,42.0,175
15753,"Wilson, Garrett",WR,NYJ,44.0920245398773,44.0,163
16614,"Harrison Jr., Marvin",WR,ARI,44.46783625730994,44.0,171
13299,"Kittle, George",TE,SFO,44.88823529411765,42.5,170
13116,"Mahomes, Patrick",QB,KCC,46.76162790697674,45.0,172
11675,"Adams, Davante",WR,LAR,47.11602209944751,46.0,181
15261,"Hubbard, Chuba",RB,CAR,48.56818181818182,48.0,176
14102,"Metcalf, DK",WR,PIT,53.11363636363637,53.0,176
13630,"Sutton, Courtland",WR,DEN,54.189655172413794,53.0,174
13635,"Moore, D.J.",WR,CHI,56.859756097560975,55.0,164
16214,"LaPorta, Sam",TE,DET,57.65714285714286,54.0,175
0631,"Ravens, Baltimore",Off,BAL,58.0,58.0,2
17068,"Harvey, RJ",RB,DEN,58.80813953488372,56.0,172
16620,"Worthy, Xavier",WR,KCC,59.462857142857146,59.0,175
13590,"Mayfield, Baker",QB,TBB,59.63687150837989,59.0,179
13319,"Jones, Aaron",RB,MIN,60.05780346820809,59.0,173
17071,"McMillan, Tetairoa",WR,CAR,62.05172413793103,60.0,174
16190,"Flowers, Zay",WR,BAL,62.628571428571426,61.0,175
14797,"Swift, D'Andre",RB,CHI,63.47159090909091,62.0,176
15756,"Williams, Jameson",WR,DET,64.39887640449439,62.5,178
15749,"Pacheco, Isiah",RB,KCC,65.06111111111112,64.0,180
15282,"Smith, DeVonta",WR,PHI,65.17714285714285,64.0,175
16582,"Nix, Bo",QB,DEN,66.74444444444444,67.0,180
14071,"Montgomery, David",RB,DET,66.76470588235294,67.0,170
15762,"Pickens, George",WR,DAL,68.60555555555555,67.0,180
11244,"Kelce, Travis",TE,KCC,69.01162790697674,69.0,172
14085,"Pollard, Tony",RB,TEN,70.38983050847457,68.0,177
13629,"Ridley, Calvin",WR,TEN,71.79289940828403,69.0,169
0623,"Packers, Green Bay",Off,GBP,73.5,73.5,2
0618,"Eagles, Philadelphia",Off,PHI,73.66666666666667,55.0,3
14833,"Jeudy, Jerry",WR,CLE,74.4140127388535,71.0,157
13671,"Andrews, Mark",TE,BAL,76.26543209876543,71.0,162
14056,"Murray, Kyler",QB,ARI,76.64242424242424,76.0,165
16747,"Tracy, Tyrone",RB,NYG,76.7080745341615,76.0,161
15754,"Olave, Chris",WR,NOS,78.98285714285714,77.0,175
14138,"Hockenson, T.J.",TE,MIN,79.1377245508982,76.0,167
17074,"Hunter, Travis",WR,JAC,79.14772727272727,77.0,176
12611,"Goff, Jared",QB,DET,80.0,78.0,166
0560,"Steelers, Pittsburgh",ST,PIT,83.0,83.0,1
16616,"Odunze, Rome",WR,CHI,83.31736526946108,79.0,167
15742,"Warren, Jaylen",RB,PIT,83.47239263803681,84.0,163
15284,"Waddle, Jaylen",WR,MIA,84.3757225433526,81.0,173
13192,"Njoku, David",TE,CLE,84.76282051282051,80.5,156
16194,"Rice, Rashee",WR,KCC,84.95731707317073,82.0,164
12620,"Prescott, Dak",QB,DAL,86.05027932960894,86.0,179
17081,"Egbuka, Emeka",WR,TBB,86.34285714285714,84.0,175
15253,"Etienne, Travis",RB,JAC,88.87134502923976,88.0,171
14136,"Samuel, Deebo",WR,WAS,89.20670391061452,88.0,179
0622,"Lions, Detroit",Off,DET,89.33333333333333,95.0,3
14800,"Dobbins, J.K.",RB,DEN,89.4319526627219,88.0,169
16622,"Pearsall, Ricky",WR,SFO,89.84269662921348,86.0,178
0620,"Commanders, Washington",Off,WAS,91.0,91.0,2
17048,"Johnson, Kaleb",RB,PIT,91.48051948051948,90.0,154
13189,"Engram, Evan",TE,DEN,91.625,89.0,160
12186,"Diggs, Stefon",WR,NEP,93.75581395348837,92.5,172
0605,"Jets, New York",Off,NYJ,94.0,94.0,1
14127,"Meyers, Jakobi",WR,JAC,94.32075471698113,92.0,159
17102,"Warren, Tyler",TE,IND,94.40993788819875,91.0,161
15698,"Purdy, Brock",QB,SFO,94.53107344632768,95.0,177
0630,"49ers, San Francisco",Off,SFO,95.5,95.5,2
14727,"Reynolds, Craig",RB,NEP,96.0,96.0,1
16441,"DeVito, Tommy",QB,NEP,96.0,96.0,1
17321,"Presley, Brennan",WR,LAR,97.0,97.0,1
13164,"Kupp, Cooper",WR,SEA,98.96,98.0,175
17075,"Golden, Matthew",WR,GBP,99.50292397660819,97.0,171
0518,"Eagles, Philadelphia",Def,PHI,100.50757575757575,103.5,132
0511,"Broncos, Denver",Def,DEN,100.66666666666667,100.0,141
17256,"Croskey-Merritt, Jacory",RB,WAS,101.04794520547945,99.0,146
13308,"Agnew, Jamal",WR,FA,103.0,103.0,1
13404,"Ekeler, Austin",RB,WAS,105.15060240963855,102.5,166
14860,"Jennings, Jauan",WR,SFO,106.77027027027027,105.0,148
15256,"Williams, Javonte",RB,DAL,107.32738095238095,105.0,168
16150,"Stroud, C.J.",QB,HOU,107.52694610778443,110.0,167
16186,"Addison, Jordan",WR,MIN,107.79629629629629,104.0,162
14842,"Pittman, Michael",WR,IND,108.00636942675159,105.0,157
15972,"Mason, Jordan",RB,MIN,108.46496815286625,104.0,157
16169,"Charbonnet, Zach",RB,SEA,108.77848101265823,105.0,158
16222,"Kraft, Tucker",TE,GBP,109.58666666666667,106.5,150
14779,"Herbert, Justin",QB,LAC,111.1686046511628,114.5,172
0531,"Ravens, Baltimore",Def,BAL,112.79054054054055,114.0,148
9298,"Harbaugh, John",Coach,NYG,113.0,112.0,4
13869,"Bojorquez, Corey",PN,CLE,113.0,113.0,1
15259,"Stevenson, Rhamondre",RB,NEP,113.00657894736842,110.5,152
13131,"Mixon, Joe",RB,HOU,113.2551724137931,111.0,145
16579,"Williams, Caleb",QB,CHI,114.64242424242424,118.0,165
16580,"Maye, Drake",QB,NEP,114.95882352941176,118.0,170
17104,"Loveland, Colston",TE,CHI,115.44370860927152,115.0,151
15761,"Shakir, Khalil",WR,BUF,115.875,111.0,160
0557,"Browns, Cleveland",ST,CLE,116.0,116.0,1
13610,"Chubb, Nick",RB,HOU,116.13095238095238,113.0,168
17269,"Chism, Efton",WR,NEP,117.0,117.0,1
16414,"Aubrey, Brandon",PK,DAL,117.17164179104478,120.0,134
3622,"Reid, Andy",Coach,KCC,117.33333333333333,124.0,3
0601,"Bills, Buffalo",Off,BUF,118.66666666666667,125.0,3
13163,"Godwin, Chris",WR,TBB,118.6830985915493,116.5,142
16617,"Coleman, Keon",WR,BUF,121.00617283950618,120.0,162
0612,"Chiefs, Kansas City",Off,KCC,121.66666666666667,132.0,3
0611,"Broncos, Denver",Off,DEN,122.5,122.5,2
