season,player_name,position_x,team_x,espn_rank,pct_championship_rosters,adp_overall,draft_status,season_ppr_points,espn_category,narrative_label,explicitly_named_league_winner,reasoning_paraphrase,inclusion_rule,coverage_type,article_title,article_author,article_publication_date,article_url,extraction_confidence,ambiguity_notes,player_norm,player,name,position_y,team_y,mean_adp,median_adp,n_drafts,abs_diff,signed_diff
2025,Puka Nacua,WR,LAR,1,29.1,11.6,drafted,349.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,puka nacua,16211,"Nacua, Puka",WR,LAR,16.161458333333332,15.0,192,4.5614583333333325,4.5614583333333325
2025,Jaxon Smith-Njigba,WR,SEA,2,25.2,39.1,drafted,345.5,on_champion_roster_ranked_table,"dominant, consistent campaign",No,"dominant, consistent campaign",Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jaxon smith-njigba,16185,"Smith-Njigba, Jaxon",WR,SEA,37.65263157894737,36.0,190,1.44736842105263,-1.44736842105263
2025,Bijan Robinson,RB,ATL,3,23.8,2.8,drafted,363.5,on_champion_roster_ranked_table,"stellar regular season, explosive playoff finish",No,"stellar regular season, explosive playoff finish",Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,bijan robinson,16161,"Robinson, Bijan",RB,ATL,3.324607329842932,3.0,191,0.5246073298429321,0.5246073298429321
2025,Trey McBride,TE,ARI,4,22.4,27.1,drafted,302.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,trey mcbride,15794,"McBride, Trey",TE,ARI,34.50261780104712,34.0,191,7.402617801047121,7.402617801047121
2025,Christian McCaffrey,RB,SF,5,20.1,7.2,drafted,404.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,christian mccaffrey,13130,"McCaffrey, Christian",RB,SFO,9.645833333333334,9.0,192,2.4458333333333337,2.4458333333333337
2025,Drake Maye,QB,NE,8,18.0,125.1,drafted,336.22,on_champion_roster_ranked_table,breakthrough performer,No,breakthrough performer,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,drake maye,16580,"Maye, Drake",QB,NEP,115.16111111111111,118.0,180,9.938888888888883,-9.938888888888883
2025,Chase Brown,RB,CIN,10,17.1,25.7,drafted,263.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,chase brown,16181,"Brown, Chase",RB,CIN,24.30366492146597,23.0,191,1.3963350785340296,-1.3963350785340296
2025,Jonathan Taylor,RB,IND,11,16.9,18.3,drafted,356.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jonathan taylor,14802,"Taylor, Jonathan",RB,IND,19.167539267015705,18.0,191,0.8675392670157045,0.8675392670157045
2025,De'Von Achane,RB,MIA,12,16.7,16.4,drafted,322.8,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,devon achane,16167,"Achane, De'Von",RB,MIA,22.268421052631577,21.0,190,5.868421052631579,5.868421052631579
2025,Josh Allen,QB,BUF,13,16.3,20.6,drafted,364.62,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,josh allen,13589,"Allen, Josh",QB,BUF,6.267015706806283,6.0,191,14.332984293193718,-14.332984293193718
