season,player_name,position_x,team_x,espn_rank,pct_championship_rosters,adp_overall,draft_status,season_ppr_points,espn_category,narrative_label,explicitly_named_league_winner,reasoning_paraphrase,inclusion_rule,coverage_type,article_title,article_author,article_publication_date,article_url,extraction_confidence,ambiguity_notes,player_norm,player,name,position_y,team_y,mean_adp,median_adp,n_drafts,abs_diff,signed_diff
2025,Puka Nacua,WR,LAR,1,29.1,11.6,drafted,349.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,puka nacua,16211,"Nacua, Puka",WR,LAR,15.454545454545455,16.0,11,3.8545454545454554,3.8545454545454554
2025,Jaxon Smith-Njigba,WR,SEA,2,25.2,39.1,drafted,345.5,on_champion_roster_ranked_table,"dominant, consistent campaign",No,"dominant, consistent campaign",Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jaxon smith-njigba,16185,"Smith-Njigba, Jaxon",WR,SEA,38.48148148148148,38.0,27,0.6185185185185205,-0.6185185185185205
2025,Bijan Robinson,RB,ATL,3,23.8,2.8,drafted,363.5,on_champion_roster_ranked_table,"stellar regular season, explosive playoff finish",No,"stellar regular season, explosive playoff finish",Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,bijan robinson,16161,"Robinson, Bijan",RB,ATL,4.3076923076923075,5.0,13,1.5076923076923077,1.5076923076923077
2025,Trey McBride,TE,ARI,4,22.4,27.1,drafted,302.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,trey mcbride,15794,"McBride, Trey",TE,ARI,32.30769230769231,33.0,13,5.207692307692305,5.207692307692305
2025,Christian McCaffrey,RB,SF,5,20.1,7.2,drafted,404.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,christian mccaffrey,13130,"McCaffrey, Christian",RB,SFO,10.384615384615385,10.0,13,3.184615384615385,3.184615384615385
2025,Drake Maye,QB,NE,8,18.0,125.1,drafted,336.22,on_champion_roster_ranked_table,breakthrough performer,No,breakthrough performer,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,drake maye,16580,"Maye, Drake",QB,NEP,118.6,119.0,10,6.5,-6.5
2025,Chase Brown,RB,CIN,10,17.1,25.7,drafted,263.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,chase brown,16181,"Brown, Chase",RB,CIN,23.4,25.0,20,2.3000000000000007,-2.3000000000000007
2025,Jonathan Taylor,RB,IND,11,16.9,18.3,drafted,356.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jonathan taylor,14802,"Taylor, Jonathan",RB,IND,18.272727272727273,19.0,11,0.027272727272727337,-0.027272727272727337
2025,De'Von Achane,RB,MIA,12,16.7,16.4,drafted,322.8,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,devon achane,16167,"Achane, De'Von",RB,MIA,25.57894736842105,23.0,19,9.178947368421053,9.178947368421053
2025,Josh Allen,QB,BUF,13,16.3,20.6,drafted,364.62,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,josh allen,13589,"Allen, Josh",QB,BUF,5.488372093023256,5.0,43,15.111627906976747,-15.111627906976747
