season,player_name,position_x,team_x,espn_rank,pct_championship_rosters,adp_overall,draft_status,season_ppr_points,espn_category,narrative_label,explicitly_named_league_winner,reasoning_paraphrase,inclusion_rule,coverage_type,article_title,article_author,article_publication_date,article_url,extraction_confidence,ambiguity_notes,player_norm,player,name,position_y,team_y,mean_adp,median_adp,n_drafts,abs_diff,signed_diff
2025,Puka Nacua,WR,LAR,1,29.1,11.6,drafted,349.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,puka nacua,16211,"Nacua, Puka",WR,LAR,15.530303030303031,14.0,132,3.9303030303030315,3.9303030303030315
2025,Jaxon Smith-Njigba,WR,SEA,2,25.2,39.1,drafted,345.5,on_champion_roster_ranked_table,"dominant, consistent campaign",No,"dominant, consistent campaign",Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jaxon smith-njigba,16185,"Smith-Njigba, Jaxon",WR,SEA,35.924369747899156,35.0,119,3.175630252100845,-3.175630252100845
2025,Bijan Robinson,RB,ATL,3,23.8,2.8,drafted,363.5,on_champion_roster_ranked_table,"stellar regular season, explosive playoff finish",No,"stellar regular season, explosive playoff finish",Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,bijan robinson,16161,"Robinson, Bijan",RB,ATL,3.1487603305785123,3.0,121,0.3487603305785125,0.3487603305785125
2025,Trey McBride,TE,ARI,4,22.4,27.1,drafted,302.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,trey mcbride,15794,"McBride, Trey",TE,ARI,34.92622950819672,33.0,122,7.826229508196718,7.826229508196718
2025,Christian McCaffrey,RB,SF,5,20.1,7.2,drafted,404.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,christian mccaffrey,13130,"McCaffrey, Christian",RB,SFO,9.890756302521009,9.0,119,2.6907563025210086,2.6907563025210086
2025,Drake Maye,QB,NE,8,18.0,125.1,drafted,336.22,on_champion_roster_ranked_table,breakthrough performer,No,breakthrough performer,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,drake maye,16580,"Maye, Drake",QB,NEP,114.82835820895522,118.0,134,10.271641791044772,-10.271641791044772
2025,Chase Brown,RB,CIN,10,17.1,25.7,drafted,263.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,chase brown,16181,"Brown, Chase",RB,CIN,23.931623931623932,23.0,117,1.7683760683760674,-1.7683760683760674
2025,Jonathan Taylor,RB,IND,11,16.9,18.3,drafted,356.4,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jonathan taylor,14802,"Taylor, Jonathan",RB,IND,19.452380952380953,19.0,126,1.1523809523809518,1.1523809523809518
2025,De'Von Achane,RB,MIA,12,16.7,16.4,drafted,322.8,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,devon achane,16167,"Achane, De'Von",RB,MIA,22.843478260869563,21.0,115,6.443478260869565,6.443478260869565
2025,Josh Allen,QB,BUF,13,16.3,20.6,drafted,364.62,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,josh allen,13589,"Allen, Josh",QB,BUF,6.62,7.0,100,13.98,-13.98
2025,Chris Olave,WR,NO,14,15.8,97.0,drafted,268.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,chris olave,15754,"Olave, Chris",WR,NOS,77.328125,76.0,128,19.671875,-19.671875
2025,Matthew Stafford,QB,LAR,15,15.7,159.9,drafted,323.72,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,matthew stafford,9431,"Stafford, Matthew",QB,LAR,150.81176470588235,158.0,85,9.088235294117652,-9.088235294117652
2025,Amon-Ra St. Brown,WR,DET,17,15.3,11.3,drafted,299.1,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,amon-ra st brown,15287,"St. Brown, Amon-Ra",WR,DET,10.304,10.0,125,0.9960000000000004,-0.9960000000000004
2025,Kyren Williams,RB,LAR,21,14.4,30.7,drafted,252.2,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,kyren williams,15710,"Williams, Kyren",RB,LAR,21.55072463768116,21.0,138,9.14927536231884,-9.14927536231884
2025,Jahmyr Gibbs,RB,DET,22,14.4,5.2,drafted,346.6,on_champion_roster_ranked_table,led this list last season (29.0%); no worse than 22nd in each of first 3 seasons,No,led this list last season (29.0%); no worse than 22nd in each of first 3 seasons,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jahmyr gibbs,16162,"Gibbs, Jahmyr",RB,DET,4.4227642276422765,4.0,123,0.7772357723577237,-0.7772357723577237
2025,Ja'Marr Chase,WR,CIN,23,14.3,1.5,drafted,290.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,jamarr chase,15281,"Chase, Ja'Marr",WR,CIN,1.6071428571428572,1.0,112,0.1071428571428572,0.1071428571428572
2025,George Pickens,WR,DAL,24,14.3,75.9,drafted,290.0,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,george pickens,15762,"Pickens, George",WR,DAL,66.76811594202898,66.0,138,9.131884057971021,-9.131884057971021
2025,Derrick Henry,RB,BAL,26,13.9,14.7,drafted,266.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,derrick henry,12626,"Henry, Derrick",RB,BAL,10.059322033898304,9.0,118,4.640677966101695,-4.640677966101695
2025,George Kittle,TE,SF,27,13.6,36.9,drafted,153.6,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,george kittle,13299,"Kittle, George",TE,SFO,43.88034188034188,42.0,117,6.980341880341882,6.980341880341882
2025,Nico Collins,WR,HOU,32,12.7,15.2,drafted,226.2,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,nico collins,15290,"Collins, Nico",WR,HOU,15.357723577235772,14.0,123,0.1577235772357728,0.1577235772357728
2025,Wan'Dale Robinson,WR,NYG,33,12.6,163.4,drafted,217.9,on_champion_roster_ranked_table,,No,,Top 50,fixed_rank_cap,Puka Nacua leads list of players on most 2025 fantasy football championship rosters,Tristan H. Cockcroft,2025-12-30,https://www.espn.com/fantasy/football/story/_/id/47454522/2025-fantasy-football,high,,wandale robinson,15757,"Robinson, Wan'Dale",WR,NYG,144.23863636363637,146.5,88,19.16136363636363,-19.16136363636363
